scenario_id,same_initialization,waypoints,method,iterations,stopping_reason,runtime_s,final_objective,final_penalized_objective,final_penalized_gradient_norm,maximum_sampled_constraint_violation,exact_feasible,minimum_clearance_m,condition_number,hessian_classification
44,True,5,Heavy-Ball,3000,maximum_iterations,6.517027378082275,0.697327962728273,2251.5970041523237,7241.319322078234,0.9506364226013484,False,-0.47504998995039593,35342543.89485829,positive definite
45,True,5,Gradient Descent,3000,maximum_iterations,4.798564910888672,0.5370961704700382,984.8218899690696,3688.441256791201,0.9921112767447364,False,-0.3347954832396469,,positive semidefinite
45,True,5,Heavy-Ball,3000,maximum_iterations,4.672799348831177,0.5370719015559537,984.8218657000408,3688.4412523062556,0.9921112767447364,False,-0.3347954832396469,,positive semidefinite
46,True,5,Gradient Descent,3000,maximum_iterations,6.234489440917969,0.4044442549603252,0.4044442549603252,0.031512222677405194,0.0,True,0.006836181158536014,,positive semidefinite
46,True,5,Heavy-Ball,3000,maximum_iterations,6.206049203872681,0.5296455738437755,0.5296455738437755,0.08072354851841722,0.0,True,0.08037612021008611,,positive semidefinite
47,True,5,Gradient Descent,3000,maximum_iterations,4.728720426559448,0.2441178221508601,0.2441178221508601,0.020122167091672263,0.0,True,0.009980210430113434,,positive semidefinite
47,True,5,Heavy-Ball,3000,maximum_iterations,4.587935924530029,0.2493018289633148,0.2493018289633148,0.019073072801904636,0.0,True,0.15833268407923495,,positive semidefinite
48,True,5,Gradient Descent,3000,maximum_iterations,6.3149073123931885,0.19359059111060808,0.19359059111060808,0.026221188169402155,0.0,True,0.0022149003413933777,,positive semidefinite
48,True,5,Heavy-Ball,3000,maximum_iterations,6.134599924087524,0.4998116977859134,11.951859257061415,0.16224217418094172,0.0769094306959639,False,-0.12221036211071645,,indefinite
49,True,5,Gradient Descent,3000,maximum_iterations,6.053123712539673,0.41879610052654725,0.41879610052654725,0.028660258814191666,0.0,True,0.010107498026804773,,positive semidefinite
49,True,5,Heavy-Ball,3000,maximum_iterations,6.393323183059692,0.42600161068393233,0.42600161068393233,0.02673726391580334,0.0,True,0.23423904030446208,,positive semidefinite
